CompanyCode,Region,Location,ItemGrp,ItemCategory,ItemSubCategory,C-Qtr,P-Qtr,Variance,Indicator,C-Qtr Quantity,P-Qtr Quantity,Variance,Indicator
BFPL,EAST,DCA,[JAM],JAM 200,PINEAPPLE JAM 48 X200GM,0.04,0.06,-0.30,?,0,0,-0.30,?
BFPL,EAST,DCA,[JAM],JAM 500,GUAVA JELLY (12X500)GM,0.05,0.06,-0.23,?,0,0,-0.23,?
BFPL,EAST,DCA,[JAM],JAM 500,MANGO JAM (12X500)GM,0.09,0.14,-0.36,?,0,0,-0.36,?
BFPL,EAST,DCA,[JAM],JAM 500,MIX FRUIT JAM (12X500)GM,0.17,0.28,-0.38,?,0,0,-0.38,?
BFPL,EAST,DCA,[JAM],JAM 500,ORANGE MARMALADE (12X500)GM,0.07,0.14,-0.49,?,0,0,-0.49,?
BFPL,EAST,DCA,[JAM],JAM 500,PINEAPPLE JAM (12X500)GM,0.10,0.19,-0.51,?,0,0,-0.51,?
BFPL,EAST,DCA,[JAM],JAM 500,STRAWBERRY JAM (12X500)GM,0.00,0.01,-1.00,?,0,0,-1.00,?
BFPL,EAST,DCA,[PUREE],PUREE,TOMATO PUREE (24X850)GM,0.04,0.10,-0.64,?,0,0,-0.64,?
BFPL,EAST,DCA,[PUREE],PUREE,TOMATO PUREE (48X250)GM,0.00,0.02,-1.00,?,0,0,-1.00,?
BFPL,EAST,DCA,[SAUCE],SAUC 1KG,TOMATO KETCHUP (STANDY) (12 X 1000KG),0.41,0.25,0.63,?,1,0,0.70,?
BFPL,EAST,DCA,[SAUCE],SAUC 200,TOMATO KETCH UP (24X200)GM,0.02,0.02,-0.26,?,0,0,-0.25,?
BFPL,EAST,DCA,[SQ & MANGO PANNA],SQ & MA,LEMON BARLEY WATER (12X700)ML,0.07,0.09,-0.25,?,0,0,-0.27,?
BFPL,EAST,DCA,[SQ & MANGO PANNA],SQ & MA,LEMON SQUASH (12X700)ML,0.04,0.00,-,?,0,0,-,?
BFPL,EAST,DCA,[SQ & MANGO PANNA],SQ & MA,LIME JUICE CORDIAL-P 12X700 ML,0.00,0.01,-0.80,?,0,0,-0.80,?
BFPL,EAST,DCA,[SQ & MANGO PANNA],SQ & MA,MANGO PANNA (12X500)ML,0.09,0.01,10.20,?,0,0,9.67,?
BFPL,EAST,DCA,[SQ & MANGO PANNA],SQ & MA,MANGO SQUASH (12X700)ML,0.04,0.00,-,?,0,0,-,?
BFPL,EAST,DCA,[SQ & MANGO PANNA],SQ & MA,ORANGE SQUASH (12X700)ML,0.09,0.03,2.09,?,0,0,1.98,?
BFPL,EAST,DCA,[SQ & MANGO PANNA],SQ & MA,PINEAPPLE SQUASH (12X700)ML,0.03,0.00,-,?,0,0,-,?
BFPL,EAST,DCA,[VINEGAR],VINEGAR,VINEGAR WHITE  12X700 ML,0.05,0.11,-0.55,?,0,0,-0.55,?
